,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
64767,83018,0.177,['Badfinger'],0.529,180547,0.743,0,0zK545STj6P7qbFSpCK9pp,0.0,9,0.0759,-5.523,1,No Matter What - Remastered 2010,58,1970-11-09,0.0481,116.817,0.78,1970,['country' 'pop' 'rock']
64838,83095,0.562,['Johnny Paycheck'],0.764,156293,0.455,0,4XbxeoBeQnwpsyJyZEMoWc,1.6100000000000002e-05,10,0.0756,-10.336,1,Take This Job and Shove It,58,1971,0.0508,137.148,0.7070000000000001,1971,['country' 'rock']
64843,83102,0.581,['Charley Pride'],0.665,123467,0.512,0,37GWhu8R61gTStMvVQfDuE,0.0,4,0.371,-10.704,1,Kiss an Angel Good Mornin',58,1971-11-01,0.03,130.578,0.87,1971,['country' 'pop' 'rock']
64847,83106,0.7929999999999999,['Bonnie Raitt'],0.67,170800,0.279,0,2zLIjfjQ8kMy7WSSLmF0I2,0.008790000000000001,5,0.109,-15.589,1,Thank You - Remastered,58,1971,0.0289,77.82,0.552,1971,['blues' 'country' 'pop' 'rock']
64849,83108,0.018000000000000002,['James Gang'],0.6,212695,0.843,0,65aeHyw8GdHFwmEvdSns21,0.199,8,0.34,-7.455,1,Walk Away,58,1971-04-01,0.0351,102.323,0.916,1971,['blues' 'country' 'rock']
64862,83122,0.589,['Johnny Cash'],0.6759999999999999,172987,0.58,0,7wL9EVloIobMw22rT7Ve8x,0.000145,5,0.218,-14.217,1,Man in Black,58,1971-05-26,0.0506,95.358,0.89,1971,['country']
64868,83128,0.93,['Dolly Parton'],0.624,183667,0.257,0,1l2Xmg54EUr3TDzNIaCr1z,7.56e-05,5,0.138,-13.341,1,Coat of Many Colors,58,1971,0.0444,85.617,0.6809999999999999,1971,['country' 'pop']
63901,82061,0.937,['Henry Mancini'],0.39,125585,0.0235,0,5iGleL7HpEThuuYQ3us2jh,0.00128,5,0.099,-19.695,1,Moon River(Vocal Audrey Hepburn),58,1961,0.0345,133.403,0.155,1961,['country']
75181,95655,0.127,['Faith Hill'],0.627,186067,0.716,0,6vgN6KGstss0GnBbKlMNK9,0.0,2,0.0344,-7.175,1,The Way You Love Me,58,1999-11-09,0.0352,101.99,0.7340000000000001,1999,['country' 'pop' 'rock']
75420,95938,0.126,['Joe Nichols'],0.6859999999999999,230360,0.631,0,0WB48shl2wAH4KqyQkQ8nJ,0.000183,10,0.107,-5.182,1,Brokenheartsville,58,2002-01-01,0.0232,103.953,0.509,2002,['country' 'rock']
82816,105563,0.7020000000000001,"['Dolly Parton', 'Kenny Rogers']",0.595,249293,0.473,0,4dqEzdFAYkj1rjYLVDuTlN,0.0,8,0.0725,-9.828,1,Islands In the Stream,58,2003-06-03,0.0347,204.016,0.716,2003,['country' 'pop' 'rock']
75384,95890,0.6990000000000001,['Nitty Gritty Dirt Band'],0.444,215400,0.757,0,3cq6mwsjgygbwRIi9wVPGv,0.0,11,0.329,-6.884,0,Mr. Bojangles - Remastered 2001,58,2001-01-01,0.0541,154.26,0.5539999999999999,2001,['country' 'rock']
75362,95865,0.778,['Merle Haggard & The Strangers'],0.725,132627,0.654,0,1FTlLpP6V05yJWmcIg0rlK,2.7000000000000004e-06,2,0.0769,-6.283,1,Mama Tried - Remastered 2001,58,2001-01-01,0.0609,97.255,0.659,2001,['country']
74784,95191,0.0013800000000000002,"['Nas', 'AZ', 'Olu Dara']",0.775,210840,0.7340000000000001,1,2LhhnqrHPWvXYveZVHLKrd,0.0,7,0.304,-5.41,1,Life's a Bitch (feat. AZ & Olu Dara),58,1994-04-19,0.215,90.001,0.342,1994,['country' 'hiphop' 'pop']
75027,95472,0.551,['Orleans'],0.565,180480,0.392,0,2GORop0i2cyx8C0A3JzL44,0.000106,2,0.247,-10.083,1,Dance with Me,58,1997-06-24,0.0268,98.485,0.493,1997,['country' 'pop' 'rock']
75083,95543,0.342,['Dixie Chicks'],0.542,217807,0.34600000000000003,0,2qdVHdkLxKntNjPh3Ssz7s,0.0,9,0.28300000000000003,-6.598,1,You Were Mine,58,1998-01-15,0.0296,139.856,0.173,1998,['country']
82187,104834,0.938,['James Horner'],0.0767,340400,0.0223,0,6vtY2LUeXJ7KISwgiTu0Ph,0.848,7,0.0998,-27.684,1,The Ludlows,58,1995-01-10,0.0372,79.803,0.0479,1995,['country']
82177,104821,0.9,"['James Horner', 'London Symphony Orchestra']",0.0828,97667,0.012,0,3Yvi5NkUrSppVwrMHYkB6u,0.812,9,0.0875,-36.045,0,A Gift Of A Thistle,58,1995-01-01,0.0451,169.895,0.0578,1995,['classical' 'country']
72736,92958,0.75,['J.J. Cale'],0.8140000000000001,156840,0.417,0,5AQpbyFoQmkOVwmlhKN4ii,0.0116,11,0.099,-15.372,1,Call Me The Breeze,58,1972,0.0382,91.657,0.8420000000000001,1972,['blues' 'country' 'rock']
67127,85515,0.302,['John Michael Montgomery'],0.655,235000,0.336,0,19lw4C2aW6TYvxqRsek2Kd,0.0,11,0.343,-11.049,1,I Can Love You Like That,58,1995-03-17,0.0264,88.554,0.203,1995,['country']
