,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
1464,0.0529,El Chombo,0.958,113868,0.807,1,3K9h28l1trUlOMkiAh09Pb,0.000654,6,0.924,-8.793,1,El Gato Volador,52,1999,0.241,109.239,0.87,1999,"hiphop, pop, reggae"
1465,0.0828,Bob Marley & The Wailers,0.8390000000000001,222027,0.634,0,3nVveBWPxK3A65Wj6caJ1W,9.21e-05,5,0.0808,-6.452000000000001,1,Kinky Reggae - Jamaican Version,52,1973-04-13,0.317,137.73,0.883,1973,reggae
1466,0.0393,Rebelution,0.8490000000000001,223027,0.695,0,4keZvEXvMrtQSp0wIicRs5,0.0,5,0.077,-6.355,0,De-Stress,52,2014-06-10,0.0649,96.967,0.816,2014,"reggae, rock"
1467,0.6459999999999999,"Ivy Queen, Divino",0.392,238293,0.469,0,14Yynglqp8TgVgI0gx5HTn,0.0,0,0.901,-6.646,0,Pobre Corazón - Remix,52,2007-11-20,0.0478,170.03599999999997,0.251,2007,"hiphop, reggae"
1468,0.156,"R.K.M & Ken-Y, Ken-Y",0.512,241387,0.632,0,5bWPX3LKk53Yjh7lQAliGQ,0.0,9,0.591,-5.063,1,Llorarás,52,2007-04-03,0.0434,79.94,0.37,2007,"hiphop, reggae"
1469,0.0629,"Calle 13, Café Tacvba",0.573,293268,0.856,1,0Y5aFVwBrhIxljBtRXgCBN,0.0,0,0.108,-5.754,1,No Hay Nadie Como Tú (feat. Café Tacuba),52,2008-07-21,0.199,199.952,0.687,2008,"hiphop, reggae, rock"
1470,0.121,"Shaggy, Rayvon",0.805,235147,0.763,0,2W31oMmNa2wHNyavreExkH,0.0,6,0.047,-2.955,1,Angel,52,2008-01-01,0.0942,85.289,0.82,2008,"hiphop, pop, reggae"
1471,0.0665,Nicky Jam,0.8079999999999999,199320,0.645,1,2wZ2L7AOU0IrmbIa6DXqYJ,5.9e-05,10,0.132,-7.252000000000002,0,Yo No Soy Tu Marido,52,2009-07-24,0.0524,94.974,0.8079999999999999,2009,"hiphop, reggae"
1472,0.00072,The Offspring,0.431,205947,0.918,0,7xm8RWCCBYvEVx1VyErDa3,6.16e-06,7,0.0701,-3.798,1,Half-Truism,52,2008-06-17,0.0397,144.112,0.402,2008,"metal, pop, reggae, rock"
1473,0.0029,The Offspring,0.402,241787,0.976,0,0wDgnPr6qmNH3I9EGsIRu2,0.0,9,0.116,-1.823,1,Days Go By,52,2012-06-26,0.0712,150.061,0.318,2012,"metal, pop, reggae, rock"
1474,9.44e-05,The Bouncing Souls,0.523,188973,0.986,0,5pSjxUAwOol5e0TWp1ecHC,0.000214,2,0.0772,-2.865,1,Manthem,52,2001-05-22,0.0632,94.348,0.725,2001,"reggae, rock"
1475,0.0307,Face To Face,0.4270000000000001,207733,0.978,0,4TOIJR7F0dH2k32a70YS8F,7.01e-06,11,0.335,-6.6389999999999985,1,Disconnected,52,1992,0.0774,193.707,0.747,1992,"reggae, rock"
1476,0.007759999999999999,The Vandals,0.5479999999999999,160893,0.933,0,2JzI278tX8YUCelGMZjPO8,0.0,10,0.0857,-5.9929999999999986,1,My Girlfriend's Dead,52,1998-01-01,0.0942,167.544,0.629,1998,"reggae, rock"
1477,0.0379,Sizzla,0.7040000000000001,233267,0.604,0,6YUTHNchsxKwWs37fFaV95,0.0,0,0.0488,-5.78,1,Just One Of Those Days,52,2002,0.165,148.017,0.522,2002,"reggae, rock"
1478,0.142,The Interrupters,0.383,200747,0.974,0,6aPyTOZZheIVT5q1TVlRYD,0.00387,11,0.168,-0.19,1,Take Back The Power,52,2014-08-05,0.0985,185.07,0.682,2014,"reggae, rock"
1479,0.0037,Bad Religion,0.331,137840,0.99,0,0BlNkCzdgYi9eJXwnYUho9,0.0,9,0.118,-3.27,1,I Want to Conquer the World,52,1989,0.146,155.687,0.527,1989,"pop, reggae, rock"
1480,0.0323,Less Than Jake,0.541,202106,0.943,0,6xOZCV4EPCupXwvqajSKzq,0.0,2,0.0912,-4.27,1,History Of A Boring Town,52,1998-01-01,0.0551,107.317,0.779,1998,"pop, reggae, rock"
1481,0.000147,Goldfinger,0.541,152773,0.903,1,22yk17jzpiaWLvCQxA3U0A,0.0,4,0.25,-5.903,1,Spokesman,52,2002-05-07,0.0526,102.442,0.643,2002,"metal, pop, reggae, rock"
1482,0.0556,Linton Kwesi Johnson,0.885,326373,0.305,0,3GCMoKi9KDq7UXmsClqfIQ,5.08e-05,7,0.0776,-15.75,1,Inglan Is A Bitch,52,1980-01-01,0.429,137.506,0.575,1980,reggae
1483,0.00251,Bad Brains,0.139,115040,0.795,1,4P8n1pWj2xQnaBjy1rvZ3o,4.72e-05,0,0.614,-12.428,1,Sailin' On,52,1982,0.0581,82.083,0.0754,1982,"reggae, rock"
