,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
2475,0.787,Grant Green,0.602,408467,0.455,0,6ydWUkitVqMOvXWuZl9CDm,0.7929999999999999,7,0.0679,-15.298,1,"Down Here On The Ground - Live At The Cliche' Lounge, Newark, New Jersey, 1970 / Remastered 2000",44,1970,0.0392,92.037,0.754,1970,jazz
2476,0.5660000000000001,Blue States,0.706,304333,0.52,0,6L90mFjGeLu3rsGddZpttR,0.857,8,0.158,-7.496,0,Your Girl,44,2000-09-03,0.029,108.994,0.354,2000,"hiphop, jazz, rock"
2477,0.6409999999999999,"Harold Melvin & The Blue Notes, Teddy Pendergrass",0.439,518000,0.529,0,3gISovgZOIv7yeUm0iMkw3,4.55e-05,2,0.5820000000000001,-9.377,1,I Miss You (feat. Teddy Pendergrass),44,1972,0.0423,129.89600000000002,0.5770000000000001,1972,"disco, jazz"
2478,0.687,"Mariah Carey, Trey Lorenz",0.404,282373,0.498,0,2exGHTlYAUQ5UX4e7Uqc79,0.0,5,0.725,-9.855,1,"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992",44,1992-04-30,0.0338,81.95100000000002,0.284,1992,"jazz, pop"
2479,0.969,"Nat King Cole, George Shearing",0.299,211173,0.133,0,2waiAcLQiqlX5bzvLtNUA0,0.000138,8,0.101,-17.555,0,Fly Me To The Moon (In Other Words),44,1987-01-01,0.0356,100.795,0.069,1987,jazz
2480,0.821,El Gran Combo De Puerto Rico,0.74,252400,0.685,0,734AX6t02v4SNG1bkhNxT9,0.000226,0,0.0726,-7.491,1,El Menú,44,1982,0.042,87.47,0.737,1982,jazz
2481,0.995,Keith Jarrett,0.556,344693,0.0172,0,6f5c2TrHJxscSjX1CVFlfR,0.8290000000000001,5,0.304,-22.447,1,I Loves You Porgy,44,1999-10-04,0.0986,102.918,0.117,1999,jazz
2482,0.303,Frank Zappa,0.28,349787,0.879,0,0W7SzJd9YNDiEUxxeKGdTU,0.821,9,0.338,-9.214,1,Apostrophe',44,1974-03-22,0.0793,171.12,0.568,1974,"jazz, rock"
2483,0.0194,"B.B. King, The Rolling Stones",0.665,213560,0.8440000000000001,0,1HK0gVdcEwTUaJzCTNhjA3,0.000162,5,0.0708,-6.632999999999999,0,Paying The Cost To Be The Boss,44,1997-11-04,0.0675,117.976,0.773,1997,"blues, jazz, rock"
2484,0.005529999999999999,Midnight Star,0.895,479055,0.7490000000000001,0,68ffXcOFU1Qxjo3Wbg5hMB,0.0254,7,0.0533,-8.696,1,No Parking (On the Dance Floor) - 12 Inch Mix,44,1983-01-01,0.0468,125.359,0.967,1983,"disco, jazz"
2485,0.363,Ramsey Lewis,0.622,290360,0.515,0,3F0yjKvYkEBs8oQfUe64kL,0.913,11,0.12,-11.282,0,Summer Breeze,44,1974-08-08,0.0347,87.76899999999998,0.7070000000000001,1974,jazz
2486,0.0542,"Earth, Wind & Fire",0.7040000000000001,242200,0.627,0,1s52byVjQbhfNgnQSviZVa,0.0153,9,0.0846,-11.073,0,Kalimba Story,44,1974-03-25,0.0331,107.543,0.851,1974,"disco, jazz"
2487,0.00321,Soul II Soul,0.7609999999999999,224173,0.715,0,5HRaxiZNh5CDACzSSYleHx,0.0989,10,0.0484,-11.699000000000002,0,Get A Life,44,1990-01-01,0.0669,101.132,0.715,1990,"disco, hiphop, jazz"
2488,0.108,Cameo,0.755,266693,0.7609999999999999,0,5ISCPV5GnIYbtvVrPohEm6,0.000356,7,0.292,-8.408999999999999,1,Single Life,44,2002-06-18,0.0598,110.605,0.8270000000000001,2002,"disco, jazz, pop"
2489,0.985,Freddie Hubbard,0.422,202773,0.14800000000000002,0,7Codqj9B5oMniYPUhfv26I,0.964,10,0.116,-15.38,1,Dedicated To You,44,1964-07-15,0.0429,125.334,0.0857,1964,jazz
2490,0.897,Sidney Bechet,0.711,343040,0.476,0,26zJinKqbORQyrDyMFLQhS,0.909,7,0.203,-9.461,0,Blues My Naughty Sweetie Gives To Me,44,2000-01-01,0.0366,136.261,0.823,2000,jazz
2491,0.0617,Kenny G,0.406,256520,0.455,0,4wukH3ea6NqekDg98qB9F2,0.204,7,0.15,-9.375,1,Everlasting,44,2003-06-10,0.0294,143.62,0.084,2003,jazz
2492,0.0168,The Time,0.856,547867,0.278,0,24c5K2qEq2wsBoIHveWPmW,0.114,4,0.0497,-15.064,0,Get It Up,44,1981-07-29,0.0752,112.569,0.87,1981,"country, disco, jazz, rock"
2493,0.7909999999999999,João Gilberto,0.627,220360,0.333,0,54nMyXP7zFHWc2nrThkZ6v,0.425,6,0.0945,-17.569000000000006,1,Tin Tin Por Tin Tin,44,1977,0.0366,87.74799999999998,0.913,1977,jazz
2494,0.434,Jagged Edge,0.634,264640,0.653,0,0rJBJ4K6uNeDg1rGVyi0Tp,0.0,11,0.109,-5.89,1,Good Luck Charm,44,2006-05-09,0.0689,116.156,0.5,2006,"hiphop, jazz, pop"
2495,0.59,"Earth, Wind & Fire",0.698,243107,0.608,0,4vGQNeWAh2WKPYsqhp5wSg,0.00148,8,0.155,-9.571,1,Got to Get You Into My Life,44,1978-11-23,0.0691,140.901,0.779,1978,"disco, jazz"
2496,0.606,Alice Coltrane,0.447,343160,0.4,0,09IKRwPeAYjmX1iABuP6fn,1.25e-05,3,0.103,-11.111,1,Govinda Jai Jai,44,2005-05-10,0.0277,86.271,0.394,2005,"jazz, pop, rock"
2497,0.8370000000000001,Nujabes,0.748,189347,0.444,0,68hjxmQouj1VRaUg8BHWAV,0.916,11,0.108,-10.096,1,Letter from Yokosuka,44,2003-08-21,0.0346,99.886,0.5379999999999999,2003,"hiphop, jazz"
2498,0.937,Art Farmer,0.652,516107,0.371,0,6zSHjRauxTzsyqvwZdXaSP,0.8759999999999999,4,0.106,-13.321,0,Chanson,44,1977,0.0439,79.205,0.5479999999999999,1977,jazz
2499,0.787,Vince Guaraldi Trio,0.496,185453,0.388,0,0MmNrhvLcoWjo7AOr0vgka,0.939,8,0.16699999999999998,-14.177,1,Linus And Lucy,44,1965,0.0382,81.77199999999998,0.6940000000000001,1965,jazz
