,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
64806,83060,0.498,['Carole King'],0.45,233173,0.441,0,12q3V8ShACq2PSWINMc2rC,0.00562,9,0.133,-12.718,0,It's Too Late,70,1971,0.0352,208.282,0.8109999999999999,1971,['pop' 'rock']
65201,83479,0.685,['10cc'],0.404,366640,0.523,0,5HQEmiV2lKnSO6qa2fsR7x,0.0004980000000000001,4,0.282,-15.7,1,I'm Not In Love,70,1975,0.0575,133.738,0.16399999999999998,1975,['pop' 'rock']
91052,116347,0.484,['Russ'],0.71,165853,0.404,1,3pndPhlQWjuSoXhcIIdBjv,0.0,1,0.0953,-10.04,0,What They Want,70,2017-05-05,0.379,139.553,0.398,2017,['hiphop' 'pop']
12256,15756,0.8420000000000001,['Crush'],0.524,227584,0.405,0,7i6FTYnqGAy7ICUB8bkPoh,0.0,10,0.107,-6.145,1,Beautiful,70,2016-12-17,0.028,109.984,0.237,2016,['pop']
66068,84376,0.197,['Talk Talk'],0.627,232400,0.802,0,4jhsuQCUCJKA5f0bXb6XdJ,0.784,0,0.404,-8.432,1,It's My Life - 1997 Remaster,70,1984,0.0348,126.283,0.867,1984,['pop' 'rock']
66069,84377,0.202,['Madonna'],0.773,218627,0.6559999999999999,0,1ZPlNanZsJSPK5h9YZZFbZ,0.00323,3,0.0697,-10.88,0,Like a Virgin,70,1984-11-12,0.0381,119.754,0.971,1984,['pop']
76419,97023,0.41,"['Calvin Harris', 'Ellie Goulding']",0.695,234507,0.8690000000000001,0,05SBRd4fXgn8FX7bf8BCAE,0.0,8,0.237,-5.066,1,I Need Your Love (feat. Ellie Goulding),70,2012-10-29,0.0483,124.989,0.58,2012,['pop']
6024,7768,0.251,['Ed Sheeran'],0.838,237333,0.4920000000000001,0,2pJZ1v8HezrAoZ0Fhzby92,0.0,1,0.262,-5.69,0,What Do I Know?,70,2017-03-03,0.038,115.092,0.895,2017,['pop']
75934,96502,0.382,['Irene Cara'],0.532,244533,0.7290000000000001,0,0aAR5HogGoT68EWFbyRFqx,0.0,10,0.366,-6.84,1,What A Feeling,70,2007-01-01,0.0474,121.97,0.595,2007,['disco' 'pop' 'rock']
68524,87003,0.8290000000000001,"['Mandy Moore', 'Zachary Levi']",0.281,224240,0.139,0,6klpXs2uAjagnZMFkt4qkl,0.0,5,0.0725,-14.392,1,"I See the Light - From ""Tangled"" / Soundtrack Version",70,2010-01-01,0.0305,92.64,0.16899999999999998,2010,['pop']
76365,96964,0.0619,"['Macklemore & Ryan Lewis', 'Wanz']",0.7809999999999999,235613,0.526,1,4YMqbFcDIFiCBd02PzUBcM,0.0,6,0.0457,-6.985,0,Thrift Shop (feat. Wanz),70,2012-10-10,0.293,94.992,0.662,2012,['hiphop' 'pop']
67734,86179,0.000336,['Audioslave'],0.433,277840,0.8540000000000001,0,1Qdnvn4XlmZANCVy3XjrQo,0.000177,9,0.162,-3.868,1,Show Me How to Live,70,2002-11-17,0.0483,89.4,0.368,2002,['metal' 'pop' 'rock']
66518,84846,0.0325,"[""The B-52's""]",0.715,321573,0.8170000000000001,0,4W4wYHtsrgDiivRASVOINL,1.61e-06,5,0.851,-6.227,0,Love Shack,70,1989-06-23,0.0532,133.858,0.871,1989,['pop' 'rock']
66061,84369,0.052000000000000005,['John Waite'],0.552,269760,0.552,0,1Qrdlkgg9I4J7r3P4kZNwr,0.0,11,0.046,-9.736,0,Missing You,70,1984-01-01,0.0364,208.571,0.593,1984,['pop' 'rock']
68723,87208,0.18600000000000005,"['Lupe Fiasco', 'Guy Sebastian']",0.517,250320,0.8109999999999999,0,1hWYT0w2R0J19rlVkiez7X,0.0,5,0.105,-4.526,0,Battle Scars,70,2012-09-25,0.28600000000000003,168.269,0.494,2012,['hiphop' 'pop']
98030,125743,0.481,"['blackbear', 'Tarro']",0.58,248633,0.6940000000000001,1,1wsZ0cp5He4Wm4yohNjwIs,1.18e-06,1,0.109,-5.45,0,idfc - Tarro Remix,70,2016-10-17,0.221,139.751,0.389,2016,['hiphop' 'pop']
68520,86999,0.0369,"['Jeremih', '50 Cent']",0.7,228453,0.598,0,0x3TibRgnSqzkcwrqBd4iX,0.0,2,0.111,-7.782999999999999,1,Down On Me,70,2010-01-01,0.114,160.041,0.594,2010,['hiphop' 'pop']
75880,96446,0.39,['Michael Bublé'],0.6859999999999999,212373,0.688,0,4T6HLdP6OcAtqC6tGnQelG,1.03e-06,6,0.0924,-4.981,0,Everything,70,2007-04-30,0.0254,123.125,0.493,2007,['pop']
18626,23901,0.34600000000000003,"['MC Fioti', 'Future', 'J Balvin', 'Stefflon Don', 'Juan Magán']",0.8959999999999999,213989,0.675,1,6k2900NjJeVqZM55G3Danu,8.11e-06,1,0.262,-3.908,1,Bum Bum Tam Tam,70,2017-12-15,0.124,131.999,0.659,2017,['hiphop' 'pop' 'reggae']
66063,84371,0.124,['The Cars'],0.5820000000000001,234493,0.606,0,3wfujdbamR3Z46F4xav7LM,0.00139,6,0.151,-9.961,1,Drive,70,1984-03-13,0.0289,111.441,0.504,1984,['pop' 'rock']
68721,87206,0.787,['MKTO'],0.313,184213,0.429,1,5tajmvqHF6YW1iiUFzKpCB,0.0,6,0.0863,-7.415,1,Wasted,70,2012,0.0343,77.27,0.416,2012,['hiphop' 'pop' 'rock']
68725,87210,0.317,['The Weeknd'],0.652,312427,0.5489999999999999,1,6u0dQik0aif7FQlrhycG1L,0.0,6,0.104,-7.555,0,The Morning,70,2012-01-01,0.039,120.073,0.18600000000000005,2012,['pop']
68152,86622,0.202,['Aventura'],0.745,257187,0.716,0,0HDHY6RSHHG2ZTE0cMT4GJ,0.0,9,0.059,-8.221,0,Los Infieles,70,2006-12-19,0.0411,132.93200000000002,0.8170000000000001,2006,['hiphop' 'pop']
68159,86630,0.8390000000000001,['Rihanna'],0.588,226973,0.391,0,13xxBnXOuiBxVxJI458B0i,0.0,0,0.227,-8.607000000000001,0,Unfaithful,70,2006-04-10,0.0334,144.069,0.349,2006,['pop']
69035,87539,0.0151,['KYLE'],0.487,232368,0.617,1,41Wez07tvAmZMrYHi2K86j,0.0,0,0.35600000000000004,-6.9,1,Don't Wanna Fall In Love,70,2015-10-02,0.275,132.088,0.604,2015,['hiphop' 'pop']
65865,84167,0.0962,['The Pointer Sisters'],0.59,230640,0.868,0,1ot6jEe4w4hYnsOPjd3xKQ,0.000322,5,0.442,-5.8320000000000025,0,I'm So Excited,70,1982-02-01,0.048,184.348,0.7979999999999999,1982,['disco' 'pop' 'rock']
111993,144223,0.00991,"['Rick Ross', 'Drake']",0.502,349600,0.633,1,1rX5L6pyl3rVWb55D8Cprr,0.0,1,0.389,-5.8,1,Gold Roses (feat. Drake),70,2019-08-15,0.419,83.226,0.552,2019,['hiphop' 'pop']
118547,152744,0.29,"['Majid Jordan', 'Khalid']",0.6779999999999999,247546,0.438,1,1opARDDYaOeE1QUdwXmBGu,0.0,9,0.0838,-8.847000000000003,0,Caught Up (feat. Khalid),70,2019-07-24,0.0577,81.498,0.501,2019,['hiphop' 'pop']
118534,152730,0.598,['Clairo'],0.7440000000000001,188387,0.619,0,7B3z0ySL9Rr0XvZEAjWZzM,0.00372,0,0.231,-9.805,1,Sofia,70,2019-08-02,0.039,112.997,0.6409999999999999,2019,['pop']
112036,144269,0.269,"['Wiz Khalifa', 'Logic']",0.775,199971,0.629,1,6TkwBmyNs21ihKTi8Bp0eo,0.0,8,0.111,-5.315,1,High Today (feat. Logic),70,2020-04-20,0.0669,112.835,0.278,2020,['hiphop' 'pop']
112049,144282,0.632,['H.E.R.'],0.429,255066,0.399,0,3f3cliOygeuUpGRwdohy12,3.2299999999999986e-05,5,0.087,-11.679,0,Comfortable,70,2020-02-05,0.0893,72.487,0.353,2020,['pop']
118533,152729,0.454,['Taylor Swift'],0.7120000000000001,198533,0.732,0,2dgFqt3w9xIQRjhPtwNk3D,0.0,4,0.319,-6.754,1,Death By A Thousand Cuts,70,2019-08-23,0.0629,94.071,0.313,2019,['pop']
91226,116531,0.0256,['Cardi B'],0.82,210787,0.568,1,2Yl4OmDby9iitgNWZPwxkd,0.0,6,0.0952,-8.23,0,Be Careful,70,2018-04-06,0.411,152.279,0.535,2018,['hiphop' 'pop']
125192,161336,0.191,"['DaniLeigh', 'G-Eazy']",0.8340000000000001,178907,0.5379999999999999,1,69eXHDgEEQ6itzt03E7fKz,0.0,4,0.113,-5.54,0,Cravin (feat. G-Eazy),70,2019-10-18,0.246,97.025,0.536,2019,['hiphop' 'pop']
98231,125969,0.184,['Cavetown'],0.507,272903,0.478,0,0ZTjo2BjVAicpu6LRusfeg,1.62e-06,4,0.0891,-10.054,1,Lemon Boy,70,2018-01-01,0.0396,139.92700000000002,0.318,2018,['pop']
98156,125889,0.0713,['Taylor Swift'],0.8,209680,0.535,0,1ZY1PqizIl78geGM4xWlEA,9.48e-06,7,0.213,-6.684,1,Gorgeous,70,2017-11-10,0.135,92.027,0.451,2017,['pop']
112087,144321,0.317,['NAV'],0.843,170536,0.529,1,2oPQVgCTYqA4FBknwAroWf,1.4800000000000002e-05,7,0.284,-7.476,1,Saint Laurenttt,70,2020-05-08,0.0515,97.971,0.289,2020,['hiphop' 'pop']
24068,30959,0.17800000000000002,['Taylor Swift'],0.687,232120,0.745,0,1GEBsLDvJGw7kviySRI6GX,1.59e-05,6,0.111,-4.432,1,You Belong With Me,70,2008-11-11,0.0379,129.966,0.435,2008,['pop']
118519,152713,0.18,"['Fetty Wap', 'Monty']",0.816,188041,0.621,1,3VN7XvP708u6V9U0CxOlzi,0.0,0,0.085,-6.352,1,Birthday (feat. Monty),70,2019-06-07,0.181,97.015,0.403,2019,['hiphop' 'pop']
118517,152711,0.428,"['Arizona Zervas', '27CLUB']",0.514,155893,0.7120000000000001,1,7piU1yHaKMD9PaOPvEymOr,8.77e-06,2,0.112,-7.2810000000000015,1,Drinking Problem (feat. 27CLUB),70,2019-06-27,0.334,76.393,0.487,2019,['hiphop' 'pop']
68189,86660,0.102,"['Lloyd', 'Lil Wayne']",0.412,273133,0.8759999999999999,0,5Y77SQxEr1eiofPeUTPHxM,0.0,5,0.297,-6.007999999999999,0,You,70,2007-01-01,0.47,130.159,0.703,2007,['hiphop' 'pop']
69029,87533,0.62,['Drake'],0.6970000000000001,320400,0.235,1,7JXZq0JgG2zTrSOAgY8VMC,0.000144,7,0.107,-8.651,1,Jungle,70,2015-02-12,0.0534,99.947,0.378,2015,['hiphop' 'pop']
98161,125895,0.071,['NIKI'],0.48,267733,0.526,1,6f7BE3VcZScJx6n3wsf5Z3,0.0,5,0.0879,-7.099,1,I Like U,70,2017-09-27,0.275,199.662,0.374,2017,['pop']
111946,144168,0.438,['NF'],0.784,234074,0.753,0,4cBlIM5AjnQ74f52Dv7T5K,0.0,6,0.16699999999999998,-4.099,0,Change,70,2019-07-26,0.213,116.959,0.532,2019,['hiphop' 'pop']
68121,86586,0.000321,['My Chemical Romance'],0.467,299227,0.883,0,2d6m2F4I7wCuAKtSsdhh83,0.000152,2,0.125,-3.679,0,Famous Last Words,70,2006-10-23,0.106,122.252,0.309,2006,['pop' 'rock']
111954,144178,0.16,"['Gryffin', 'Seven Lions', 'Noah Kahan']",0.581,205787,0.76,0,1vsQb8n0icvMsFnL9663LM,0.0,0,0.183,-3.962,1,Need Your Love (with Noah Kahan),70,2019-10-24,0.0406,104.099,0.523,2019,['hiphop' 'pop' 'rock']
125146,161286,0.645,['Camila Cabello'],0.547,181913,0.289,0,1ArLnG0bHaHPXqf08sEKM0,0.0,0,0.14800000000000002,-8.131,1,Consequences - orchestra,70,2018-10-09,0.0348,104.851,0.213,2018,['pop']
68127,86593,0.277,"['Justin Timberlake', 'T.I.']",0.772,276160,0.68,0,4NeOWqHmlrGRuBvsLJC9rL,1.17e-05,11,0.682,-5.881,0,My Love (feat. T.I.),70,2006-09-13,0.224,119.953,0.807,2006,['hiphop' 'pop']
31333,40093,0.0257,"['Tyga', 'YG', 'Santana']",0.7859999999999999,202653,0.733,1,51wFQM8W0YfXTmHusXUr5i,0.0,6,0.14300000000000002,-4.961,0,MAMACITA,70,2019-10-25,0.127,101.046,0.358,2019,['blues' 'hiphop' 'pop' 'rock']
131880,169857,0.306,"['Kygo', 'St. Lundi']",0.535,230233,0.431,0,6LMTqDK4uVR8XsCzel1nkH,0.0,0,0.101,-8.071,1,To Die For,70,2020-05-29,0.0374,129.797,0.0954,2020,['pop']
111959,144184,0.281,"['Young M.A', 'Relle Bey', 'Max YB']",0.8170000000000001,193479,0.539,1,7asoA129HgQkm3MOVEUF0K,0.0,5,0.199,-5.015,1,NNAN,70,2019-09-27,0.0626,96.039,0.674,2019,['hiphop' 'pop']
111963,144189,0.24,['NF'],0.653,252712,0.7959999999999999,0,0aQA9DP54h37OevE7hRc2a,0.0,7,0.108,-4.05,0,My Stress,70,2019-07-26,0.245,160.026,0.405,2019,['hiphop' 'pop']
111964,144191,0.208,['Doja Cat'],0.7490000000000001,226987,0.463,1,60ynsPSSKe6O3sfwRnIBRf,0.0371,11,0.337,-8.433,1,Streets,70,2019-11-07,0.0828,90.02799999999998,0.19,2019,['pop']
111965,144192,0.00471,['Machine Gun Kelly'],0.765,146264,0.725,1,2jRmKc69qzGKzGU9SdH5u7,0.000194,3,0.154,-3.391,0,el Diablo,70,2019-07-05,0.142,75.003,0.578,2019,['hiphop' 'pop']
69021,87525,0.317,"['Meek Mill', 'Drake']",0.727,197133,0.599,1,0Y0TOsE1q11qgbi7c5WZsG,0.0,1,0.219,-6.941,1,R.I.C.O. (feat. Drake),70,2015-06-29,0.327,167.90900000000005,0.386,2015,['hiphop' 'pop']
68342,86818,0.00836,['David Archuleta'],0.57,213520,0.664,0,4wCD0qOFNRu1Q6O3N6ycm4,1.2e-05,0,0.0719,-4.718,0,Crush,70,2008-11-11,0.0322,162.084,0.487,2008,['pop']
68131,86597,0.17600000000000002,['Jackie Wilson'],0.631,181067,0.69,0,4TBBPZks71c60whhq0PgdP,0.0,2,0.121,-6.676,1,(Your Love Keeps Lifting Me) Higher & Higher,70,2006,0.0531,94.574,0.938,2006,['blues' 'pop' 'rock']
68337,86813,0.147,['Britney Spears'],0.7909999999999999,192360,0.733,0,7jk7gqyEonmVVYahZN5zhW,0.000381,6,0.0713,-5.215,0,Circus,70,2008-12-02,0.052000000000000005,114.98,0.7609999999999999,2008,['hiphop' 'pop']
