,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
2476,0.0222,Faith No More,0.358,293653,0.893,0,4h7bZNHnYP2umOomPbnfxG,0.0524,4,0.126,-7.4860000000000015,0,Epic,53,1989-06-20,0.12,174.238,0.262,1989,"hiphop, metal, rock"
2477,0.328,Alice In Chains,0.36,297107,0.5479999999999999,0,3QAE7ypzhNZzQxOjKCGHD9,0.217,3,0.971,-12.938,0,"Nutshell - Live at the Majestic Theatre, Brooklyn, NY - April 1996",53,1996-07-29,0.0468,121.801,0.244,1996,"metal, rock"
2478,0.006229999999999999,Papa Roach,0.484,182120,0.978,1,4yUUVfwvxtMecOQ2fI7a7j,0.0,8,0.375,-3.112,1,...To Be Loved,53,2006-01-01,0.0829,96.003,0.537,2006,"hiphop, metal, rock"
2479,0.000282,Red Hot Chili Peppers,0.63,271160,0.794,0,4ddA4oHvhrGx196qF5ZyQe,0.429,9,0.298,-10.2,0,Blood Sugar Sex Magik,53,1991-09-24,0.0921,146.57399999999996,0.836,1991,"metal, pop, rock"
2480,0.0901,Hollywood Undead,0.665,218267,0.908,1,5qnF4Ss6NHiUX45HryKEol,0.0,0,0.917,-4.562,1,Dead Bite,53,2012-01-01,0.127,96.039,0.653,2012,"hiphop, metal, rock"
2481,0.0612,Avenged Sevenfold,0.605,307987,0.627,0,3b3eu3uMp1b9xPOHbfSwBi,3.6e-05,0,0.106,-7.454,1,Fiction,53,2010-07-23,0.0265,120.0,0.243,2010,metal
2482,0.141,Mad Season,0.339,456027,0.276,0,5xhQOnyRJfRywbEwpkgoTy,0.00906,7,0.1,-10.746,1,Wake Up,53,1995,0.0285,83.181,0.308,1995,"blues, metal, rock"
2483,4e-05,Unwritten Law,0.393,219382,0.959,0,1uDhHTNIBF5BJQWTjKnCoa,0.0005690000000000001,1,0.1,-4.343,1,Celebration Song,53,2005,0.108,185.226,0.61,2005,"metal, pop, reggae, rock"
2484,0.00109,Marilyn Manson,0.541,269000,0.8540000000000001,0,2YGwSRjcY4Hjz6fktW9619,0.000199,5,0.7809999999999999,-7.066,0,Tourniquet,53,1996,0.0426,90.066,0.381,1996,"metal, rock"
2485,0.0044,Marilyn Manson,0.218,291440,0.5760000000000001,0,0Xq7FPQaLJgIHSB605YUMy,0.647,8,0.184,-6.938,1,Sweet Dreams (Are Made Of This),53,2004-01-01,0.0387,185.987,0.14,2004,"metal, rock"
