,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
798,0.0166,ZZ Top,0.607,243067,0.939,0,1jzZZsfzxsebFa6KpWXaAr,0.0081,2,0.0941,-4.95,1,Got Me Under Pressure - 2008 Remaster,53,1983-03-23,0.0375,157.957,0.764,1983,"blues, country, rock"
799,0.141,Mad Season,0.339,456027,0.276,0,5xhQOnyRJfRywbEwpkgoTy,0.00906,7,0.1,-10.746,1,Wake Up,53,1995,0.0285,83.181,0.308,1995,"blues, metal, rock"
800,0.99,Ella Fitzgerald,0.354,196667,0.0851,0,5RcvlmVx2xtFcp2Ta5pw7X,4.49e-06,7,0.123,-13.738,1,Someone To Watch Over Me,52,1950-09-11,0.0345,97.684,0.197,1950,"blues, jazz"
801,0.616,Al Green,0.527,251569,0.223,0,09kEUjIvixNShjfl3YoyWo,0.0041600000000000005,9,0.125,-15.627,0,Simply Beautiful,52,1972-10-23,0.145,145.253,0.479,1972,blues
802,0.986,Ella Fitzgerald,0.455,196440,0.106,0,5DIVWgTeJ2fPIxaY9e7ZKn,0.0,2,0.122,-14.086,1,I've Got A Crush On You,52,1950-09-11,0.0422,66.807,0.258,1950,"blues, jazz"
803,0.158,Humble Pie,0.605,237267,0.482,0,3KG03fcha5gJBLyze9919W,2.04e-05,9,0.196,-16.673,1,30 Days In The Hole,52,1972-01-01,0.102,119.819,0.831,1972,"blues, country, rock"
804,0.805,J.J. Cale,0.684,201907,0.213,0,5cENc0N9NpJJB7FggcMjyS,0.8759999999999999,0,0.0734,-19.169,1,Cherry,52,1976-09,0.0752,151.096,0.657,1976,"blues, country, rock"
805,0.7659999999999999,Taj Mahal,0.599,160360,0.546,0,63vUX4fixN873tbuAfUbaH,1.91e-06,10,0.104,-8.866,1,Lovin' in My Baby's Eyes,52,1996-02-26,0.0328,85.321,0.493,1996,"blues, country, jazz, rock"
806,0.826,Aretha Franklin,0.384,153600,0.206,0,0dSRoWYf0GOzX9L44g53sZ,0.0,0,0.5529999999999999,-11.961,0,One Step Ahead,52,1996-01-01,0.0319,170.16299999999995,0.667,1996,"blues, jazz"
807,0.929,"Ella Fitzgerald, Louis Armstrong",0.499,377333,0.0533,0,7paEvsQ08LWCV8Agvo9CWa,0.0,9,0.0942,-18.771,0,Isn't This A Lovely Day?,52,1997-05-20,0.0477,82.97,0.185,1997,"blues, jazz"
808,0.496,The Fabulous Thunderbirds,0.775,232707,0.499,0,6f3OYG5R630tjwFIHIE7j2,0.0219,4,0.114,-7.181,1,Scratch My Back,52,1979,0.0415,121.056,0.862,1979,"blues, country, rock"
809,0.3,Bonnie Raitt,0.595,192200,0.525,0,0h06YSqzwbAU9ZDuIvw8pk,3.15e-05,11,0.197,-11.582,0,Love Me Like a Man - Remastered,52,1972,0.0499,124.569,0.826,1972,"blues, country, pop, rock"
810,0.0157,The Blues Brothers,0.629,180973,0.857,0,5z2F9FkKdhd9HOSTI1GxRq,0.00396,9,0.755,-7.059,1,Soul Man - Live,52,1978-11-01,0.0705,116.254,0.528,1978,"blues, rock"
811,0.637,Phish,0.534,290107,0.39,0,6dKntZwVJx0QLX6IM19gC7,0.000759,5,0.0961,-10.49,1,Waste,52,1996-10-15,0.027000000000000003,142.878,0.213,1996,"blues, pop, rock"
812,0.0504,Jimi Hendrix,0.405,183320,0.831,0,2KFE98Iw0X23sf4vJYcbLH,0.0918,5,0.805,-5.292999999999998,0,Spanish Castle Magic,52,1967-12-01,0.0671,130.856,0.805,1967,"blues, rock"
813,0.0513,The White Stripes,0.518,439067,0.67,0,7kYSpDviYdP8QKrnWLQYVN,0.145,9,0.102,-7.135,1,Ball And Biscuit,52,2003-04-01,0.192,78.223,0.608,2003,"blues, pop, rock"
